original_path,test_path,hash_match,original_hash,test_hash,semantic_similarity,integrity_status,tamper_detected,tamper_severity,filename
data/documents\customer_database.txt,data/tampered_docs\customer_database.txt,False,e9c080067b586268e5cd04e8ef7c6d0f7c9c0c1b0a47f822450d0b914f9091ed,034fe568a98e873ce6bf50662b5ec7f85c2e13338523c586196603d844784578,0.9465197324752808,modified,True,moderate,customer_database.txt
data/documents\finance_report.txt,data/tampered_docs\finance_report.txt,False,6f5d15ab91740ebd0293988a2e3e052ee1d930f019d389585f7d70d9d2fe0bca,3ff8dc4486a45a9fa067d98ae5524e5a9ba20cf2e80b52e2bf73007c5024b57b,0.9912251830101013,modified,True,minor,finance_report.txt
data/documents\hr_policy.txt,self_verification,True,4191aa766ca8500720bd13985aaec75013fcd7da484e5314f7d9e5c7a55c760b,4191aa766ca8500720bd13985aaec75013fcd7da484e5314f7d9e5c7a55c760b,,intact,False,none,hr_policy.txt
data/documents\marketing_plan.txt,self_verification,True,877c06fe106fca6e5f88b7ca9059b3e847c92af0ad3c84fbf0a3d9da0c9f886c,877c06fe106fca6e5f88b7ca9059b3e847c92af0ad3c84fbf0a3d9da0c9f886c,,intact,False,none,marketing_plan.txt
data/documents\public_announcement.txt,self_verification,True,46b996de333193f68c9f37c9662b1b423ecc48413e0eb5575790a8005f31e4df,46b996de333193f68c9f37c9662b1b423ecc48413e0eb5575790a8005f31e4df,,intact,False,none,public_announcement.txt
